,at-historical,at-forecasted
1850,7.900666666666666,
1851,8.178583333333332,
1852,8.100166666666665,
1853,8.041833333333333,
1854,8.2105,
1855,8.110749999999998,
1856,7.995916666666666,
1857,7.758166666666668,
1858,8.10025,
1859,8.252,
1860,7.960833333333333,
1861,7.846500000000002,
1862,7.558583333333334,
1863,8.111833333333333,
1864,7.983583333333335,
1865,8.177833333333334,
1866,8.292166666666665,
1867,8.436333333333334,
1868,8.247916666666667,
1869,8.432083333333333,
1870,8.201333333333332,
1871,8.115083333333333,
1872,8.193833333333332,
1873,8.351083333333333,
1874,8.4335,
1875,7.859583333333334,
1876,8.080083333333333,
1877,8.539583333333333,
1878,8.829749999999999,
1879,8.165833333333333,
1880,8.118749999999999,
1881,8.270916666666666,
1882,8.128916666666667,
1883,7.976916666666665,
1884,7.773666666666667,
1885,7.919666666666668,
1886,7.954499999999999,
1887,7.914916666666667,
1888,8.0905,
1889,8.318999999999999,
1890,7.971666666666667,
1891,8.019333333333334,
1892,8.065833333333332,
1893,8.05675,
1894,8.161,
1895,8.147,
1896,8.214916666666666,
1897,8.293333333333335,
1898,8.177999999999999,
1899,8.396333333333333,
1900,8.501583333333333,
1901,8.541916666666665,
1902,8.304416666666667,
1903,8.220166666666668,
1904,8.090916666666667,
1905,8.225166666666665,
1906,8.379083333333332,
1907,7.947166666666667,
1908,8.186083333333334,
1909,8.17825,
1910,8.223,
1911,8.177000000000001,
1912,8.165416666666667,
1913,8.297749999999999,
1914,8.5905,
1915,8.593166666666665,
1916,8.22525,
1917,8.023333333333332,
1918,8.130833333333332,
1919,8.38225,
1920,8.35875,
1921,8.571,
1922,8.408,
1923,8.422166666666666,
1924,8.506833333333335,
1925,8.534416666666667,
1926,8.728833333333332,
1927,8.522083333333333,
1928,8.632166666666668,
1929,8.242416666666665,
1930,8.633583333333332,
1931,8.71925,
1932,8.705250000000001,
1933,8.33825,
1934,8.628333333333336,
1935,8.51575,
1936,8.554,
1937,8.698333333333332,
1938,8.863666666666665,
1939,8.760333333333334,
1940,8.764666666666667,
1941,8.768666666666668,
1942,8.728416666666666,
1943,8.755083333333333,
1944,8.845,
1945,8.584833333333332,
1946,8.676916666666669,
1947,8.797083333333333,
1948,8.74675,
1949,8.586749999999999,
1950,8.365250000000001,
1951,8.625666666666666,
1952,8.638250000000001,
1953,8.873750000000001,
1954,8.560666666666666,
1955,8.62625,
1956,8.279583333333333,
1957,8.7325,
1958,8.77375,
1959,8.732666666666665,
1960,8.58375,
1961,8.797666666666666,
1962,8.745916666666666,
1963,8.856,
1964,8.409666666666666,
1965,8.527416666666667,
1966,8.599333333333332,
1967,8.700083333333334,
1968,8.516333333333334,
1969,8.595083333333333,
1970,8.700916666666666,
1971,8.59925,
1972,8.499583333333334,
1973,8.948249999999998,
1974,8.4675,
1975,8.744833333333334,
1976,8.347249999999999,
1977,8.850249999999999,
1978,8.692749999999998,
1979,8.733416666666665,
1980,8.980333333333332,
1981,9.165833333333333,
1982,8.639166666666666,
1983,9.028166666666666,
1984,8.691833333333335,
1985,8.658,
1986,8.833583333333332,
1987,8.994416666666668,
1988,9.201583333333334,
1989,8.921999999999999,
1990,9.234166666666667,
1991,9.179416666666667,
1992,8.836583333333332,
1993,8.866583333333333,
1994,9.038749999999999,
1995,9.347083333333332,
1996,9.038916666666667,
1997,9.202583333333333,
1998,9.522666666666666,
1999,9.285083333333333,
2000,9.201166666666667,
2001,9.414583333333335,
2002,9.570416666666667,
2003,9.525583333333334,
2004,9.324583333333333,
2005,9.700916666666666,
2006,9.532499999999999,
2007,9.732166666666664,
2008,9.431750000000001,
2009,9.505250000000002,
2010,9.703083333333332,
2011,9.516,
2012,9.507333333333333,
2013,9.606499999999999,9.7188081741333
2014,9.570666666666666,9.760080337524414
2015,9.830999999999998,9.818437576293945
2016,,9.809030532836914
2017,,9.8456449508667
2018,,9.8740816116333
2019,,9.931551933288574
2020,,9.93738079071045
2021,,9.975052833557129
2022,,9.976764678955078
2023,,10.0304594039917
2024,,10.034418106079102
2025,,10.073620796203613
2026,,10.088905334472656
2027,,10.128195762634277
2028,,10.143302917480469
2029,,10.174386978149414
2030,,10.194705963134766
2031,,10.230001449584961
2032,,10.246833801269531
2033,,10.278446197509766
2034,,10.292631149291992
2035,,10.325965881347656
2036,,10.34230899810791
2037,,10.372292518615723
2038,,10.389541625976562
2039,,10.417766571044922
